Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Andrews,George,William,,,12/12/1906,12/25/1971,2,U.S. Representative,Democrat,AL,AL,01/09/1963,01/03/1965,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Andrews,George,William,,,12/12/1906,12/25/1971,2,U.S. Representative,Democrat,AL,3,03/14/1944,01/03/1963,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Andrews,Ike,Franklin,,,09/02/1925,05/10/2010,2,U.S. Representative,Democrat,NC,4,01/03/1973,01/03/1985,Baptist,Not specified,Professional degree,Law,,,,,Army,,
Andrews,Mark,,,,05/19/1926,,2,U.S. Representative,Republican,ND,AL,01/03/1973,01/03/1981,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Andrews,Mark,,,,05/19/1926,,2,U.S. Representative,Republican,ND,1,10/22/1963,01/03/1973,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Andrews,Michael,Allen,,,02/07/1944,,2,U.S. Representative,Democrat,TX,25,01/03/1983,01/03/1995,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Andrews,Robert,E.,,,08/04/1957,,2,U.S. Representative,Democrat,NJ,1,01/03/1991,02/18/2014,Episcopalian,White,Professional degree,Education,Law,,,,Did not serve,,
Andrews,Thomas,H.,,,03/22/1953,,2,U.S. Representative,Democrat,ME,1,01/03/1991,01/03/1995,Unitarian,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Andrews,Walter,Gresham,,,07/16/1889,03/05/1949,2,U.S. Representative,Republican,NY,42,01/03/1945,01/03/1949,Not specified,White,Professional degree,Business or banking,Medicine,,,,Army,,
Anfuso,Victor,L&apos;Episcopo,,,03/10/1905,12/28/1966,2,U.S. Representative,Democrat,NY,8,01/03/1951,01/03/1963,Roman Catholic,White,Professional degree,Law,,,,,Army,,
Angell,Homer,Daniel,,,01/12/1875,03/31/1968,2,U.S. Representative,Republican,OR,3,01/03/1945,01/03/1955,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,2,U.S. Representative,Democrat,IL,11,01/03/1973,01/03/1993,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,2,U.S. Representative,Democrat,IL,7,01/04/1965,01/03/1973,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Anthony,Beryl,Franklin,,,02/21/1938,,2,U.S. Representative,Democrat,AR,4,01/15/1979,01/03/1993,Episcopalian,White,Bachelor's degree,Law,,,,,Did not serve,,
Applegate,Douglas,,,,03/27/1928,,2,U.S. Representative,Democrat,OH,18,01/04/1977,01/03/1995,Presbyterian,White,High School graduate,Real Estate,,,,,Did not serve,,
Archer,William,Reynolds,Jr.,Bill,03/22/1928,,2,U.S. Representative,Republican,TX,7,01/21/1971,01/03/2003,Roman Catholic,White,Professional degree,Agriculture,Law,,,,Air Force,,
Arcuri,Michael,,,,06/11/1959,,2,U.S. Representative,Democrat,NY,24,01/03/2007,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,2,U.S. Representative,Republican,IL,17,01/03/1945,01/02/1973,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,2,U.S. Representative,Republican,IL,15,01/03/1973,01/03/1975,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Armey,Richard,Keith,,Dick,07/07/1940,,2,U.S. Representative,Republican,TX,26,01/03/1985,01/03/2003,Presbyterian,White,Doctorate degree,Education,Public service/politics,,,,Did not serve,,
Armstrong,Kelly,,,,10/08/1976,,2,U.S. Representative,Republican,ND,AL,01/20/2019,01/03/2023,Lutheran,White,Professional degree,,,,,,,,
Armstrong,Orland,Kay,,,10/02/1893,04/15/1987,2,U.S. Representative,Republican,MO,6,01/03/1951,01/03/1953,Not specified,White,Professional degree,Business or banking,Education,,,,Army Air Corps,,
Armstrong,William,Lester,,,03/16/1937,07/05/2016,2,U.S. Representative,Republican,CO,5,01/03/1973,01/03/1979,Lutheran,White,High School graduate,Business or banking,,,,,Army National Guard,,
Arnold,Samuel,Washington,,,09/21/1879,12/18/1961,2,U.S. Representative,Republican,MO,1,01/03/1945,01/03/1949,Presbyterian,White,Bachelor's degree,Business or banking,Education,,,,Did not serve,,
Arrington,Jodey,C.,,,03/09/1972,,2,U.S. Representative,Republican,TX,19,01/20/2017,01/03/2023,Evangelical,White,Master's degree,Business or banking,,,,,,,
Ashbrook,Jean,S.,,,09/21/1934,,1,U.S. Representative,Republican,OH,17,07/12/1982,01/03/1983,Not specified,White,Bachelor's degree,Misc.,,,,,Did not serve,,
Ashbrook,John,Milan,,,09/21/1928,04/24/1982,2,U.S. Representative,Republican,OH,17,01/03/1961,04/24/1982,Baptist,White,Professional degree,Journalism,Law,,,,Navy,,
Ashford,Brad,,,,11/10/1949,,2,U.S. Representative,Democrat,NE,2,01/03/2015,01/03/2017,Lutheran,White,Professional degree,,,,,,Did not serve,,
Ashley,Thomas,William Ludlow,,,01/11/1923,06/15/2010,2,U.S. Representative,Democrat,OH,9,01/05/1955,01/03/1981,Episcopalian,White,Professional degree,Law,,,,,Army,,
Ashmore,Robert,Thomas,,,02/22/1904,10/04/1989,2,U.S. Representative,Democrat,SC,4,06/15/1953,01/03/1969,Baptist,White,Professional degree,Law,,,,,Army,Reserve,
Aspin,Les,,,,07/21/1938,05/21/1995,2,U.S. Representative,Democrat,WI,1,01/21/1971,01/20/1993,Episcopalian,White,Doctorate degree,Education,,,,,Army,,
Aspinall,Wayne,Norviel,,,04/03/1896,10/09/1983,2,U.S. Representative,Democrat,CO,4,01/03/1949,01/03/1973,Methodist,White,Professional degree,Education,Law,,,,Army,,
Atkins,Chester,G.,,,04/14/1948,,2,U.S. Representative,Democrat,MA,5,01/03/1985,01/03/1993,Unitarian,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Atkinson,Eugene,Vincent,,,04/05/1927,08/04/2016,2,U.S. Representative,Democrat,PA,25,01/15/1979,01/03/1983,Roman Catholic,Not specified,High School graduate,Business or banking,,,,,Navy,,
Auchincloss,Jacob,Daniel,,Jake,01/29/1988,,2,U.S. Representative,Democrat,MA,4,01/03/2021,01/03/2023,Jewish,Not specified,Master's degree,,,,,,,,
Auchincloss,James,Coats,,,01/19/1885,10/02/1976,2,U.S. Representative,Republican,NJ,3,01/03/1945,01/03/1965,Protestant,White,Bachelor's degree,Business or banking,,,,,National Guard-New York,,
AuCoin,Les,,,,10/21/1942,,2,U.S. Representative,Democrat,OR,1,01/14/1975,01/03/1993,Protestant,White,Bachelor's degree,Journalism,Public service/politics,,,,Army,,
Austria,Steve,,,,10/12/1958,,2,U.S. Representative,Republican,OH,7,01/06/2009,01/03/2013,Roman Catholic,Asian American,Bachelor's degree,Business or banking,,,,,Did not serve,,
Avery,William,Henry,,,08/11/1911,11/04/2009,2,U.S. Representative,Republican,KS,1,01/05/1955,01/08/1963,Methodist,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Avery,William,Henry,,,08/11/1911,11/04/2009,2,U.S. Representative,Republican,KS,2,01/09/1963,01/03/1965,Methodist,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Axne,Cindy,,,,04/20/1965,,1,U.S. Representative,Democrat,IA,3,01/20/2019,01/03/2023,Roman Catholic,White,Master's degree,,,,,,,,
