Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Hill,Baron,P.,,,06/23/1953,,2,U.S. Representative,Democrat,IN,9,01/03/1999,01/03/2005,Christian,White,Professional degree,Business or banking,,,,,Did not serve,,
Hill,Baron,P.,,,06/23/1953,,2,U.S. Representative,Democrat,IN,9,01/03/2007,01/03/2011,Christian,White,Professional degree,Business or banking,,,,,Did not serve,,
Hill,French,,,,12/05/1956,,2,U.S. Representative,Republican,AR,2,01/20/2015,01/03/2023,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,
Hill,Katie,,,,08/25/1987,,1,U.S. Representative,Democrat,CA,25,01/03/2019,11/03/2019,Not specified,White,Unknown,,,,,,,,
Hill,Rick,,,,12/30/1946,,2,U.S. Representative,Republican,MT,AL,01/07/1997,01/03/2001,Assembly of God,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Hill,William,Silas,,,01/20/1886,08/28/1972,2,U.S. Representative,Republican,CO,2,01/03/1945,01/03/1959,Presbyterian,White,High School graduate,Business or banking,Education,,,,Air Force,Did not serve,Did not serve
Hilleary,Van,,,,06/20/1959,,2,U.S. Representative,Republican,TN,4,01/04/1995,01/03/2003,Presbyterian,White,Professional degree,Business or banking,,,,,Reserve,,
Hillelson,Jeffrey,Paul,,,03/09/1919,05/28/2003,2,U.S. Representative,Republican,MO,4,01/03/1953,01/03/1955,Not specified,White,Professional degree,Business or banking,,,,,Army,,
Hilliard,Earl,F.,,,04/09/1942,,2,U.S. Representative,Democrat,AL,7,01/05/1993,01/03/2003,Baptist,African American,Master's degree,Business or banking,Law,,,,Did not serve,,
Hillings,Patrick,Jerome,,,02/19/1923,07/20/1994,2,U.S. Representative,Republican,CA,12,01/03/1951,01/02/1953,Not specified,White,Professional degree,Law,,,,,Army,,
Hillings,Patrick,Jerome,,,02/19/1923,07/20/1994,2,U.S. Representative,Republican,CA,25,01/03/1953,01/03/1959,Not specified,White,Professional degree,Law,,,,,Army,,
Hillis,Elwood,Haynes,,,03/06/1926,,2,U.S. Representative,Republican,IN,5,01/21/1971,01/03/1987,Presbyterian,White,Professional degree,Law,,,,,Reserve,,
Himes,James,A,,Jim,07/05/1966,,2,U.S. Representative,Democrat,CT,4,01/20/2009,01/03/2023,Presbyterian,White,Master's degree,Business or banking,,,,,Did not serve,,
Hinchey,Maurice,D.,,,10/27/1938,11/22/2017,2,U.S. Representative,Democrat,NY,22,01/03/2003,01/03/2013,Roman Catholic,White,Master's degree,Public service/politics,,,,,Navy,,
Hinchey,Maurice,D.,,,10/27/1938,11/22/2017,2,U.S. Representative,Democrat,NY,26,01/05/1993,01/03/2003,Roman Catholic,White,Master's degree,Public service/politics,,,,,Navy,,
Hinojosa,Ruben,,,,08/20/1940,,2,U.S. Representative,Democrat,TX,15,01/07/1997,01/03/2017,Roman Catholic,Hispanic,Master's degree,Business or banking,,,,,Did not serve,,
Hinshaw,Andrew,Jackson,,,08/04/1923,,2,U.S. Representative,Republican,CA,39,01/03/1973,01/13/1975,Protestant,White,Bachelor's degree,Real Estate,,,,,Navy,,
Hinshaw,Andrew,Jackson,,,08/04/1923,,2,U.S. Representative,Republican,CA,40,01/14/1975,01/03/1977,Protestant,White,Bachelor's degree,Real Estate,,,,,Navy,,
Hinshaw,John,Carl William,,,07/28/1894,08/05/1956,2,U.S. Representative,Republican,CA,20,01/03/1945,08/05/1956,Not specified,White,Bachelor's degree,Business or banking,,,,,Army Corps of Engineers,,
Hinson,Ashley,,,,06/27/1983,,1,U.S. Representative,Republican,IA,1,01/03/2021,01/03/2023,Christian,Not specified,Bachelor's degree,,,,,,,,
Hinson,Jon,Clifton,,,03/16/1942,07/21/1995,2,U.S. Representative,Republican,MS,4,01/15/1979,04/13/1981,Baptist,White,Bachelor's degree,Congressional Aide,,,,,Marine Corps,,
Hirono,Mazie,K.,,,11/03/1947,,1,U.S. Representative,Democrat,HI,2,01/03/2007,01/03/2013,Buddhist,Asian American,Professional degree,Law,,,,,Did not serve,,
Hoagland,Peter,,,,11/17/1941,10/30/2007,2,U.S. Representative,Democrat,NE,2,01/03/1989,01/03/1995,Episcopalian,White,Professional degree,Law,,,,,Army,,
Hobbs,Samuel,Francis,,,10/05/1887,05/31/1952,2,U.S. Representative,Democrat,AL,4,01/03/1935,01/03/1952,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Hobson,David,L.,,,10/17/1936,,2,U.S. Representative,Republican,OH,7,01/03/1991,01/05/2009,Methodist,White,Professional degree,Business or banking,Real Estate,,,,Air National Guard-Ohio,,
Hoch,Daniel,K.,,,01/31/1866,10/11/1960,2,U.S. Representative,Democrat,PA,13,01/03/1945,01/03/1947,Not specified,White,High School graduate,Journalism,,,,,,,
Hochbrueckner,George,,,,09/20/1938,,2,U.S. Representative,Democrat,NY,1,01/06/1987,01/03/1995,Roman Catholic,White,High School graduate,Engineering,,,,,Navy,,
Hochul,Kathy,,,,08/27/1958,,1,U.S. Representative,Democrat,NY,26,05/24/2011,01/02/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Hodes,Paul W.,,,,03/21/1951,,2,U.S. Representative,Democrat,NH,2,01/03/2007,01/03/2011,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Hoeffel,Joseph,M.,,,09/03/1950,,2,U.S. Representative,Democrat,PA,13,01/03/1999,01/03/2005,Protestant,White,Professional degree,,,,,,Did not serve,,
Hoekstra,Peter,,,,10/30/1953,,2,U.S. Representative,Republican,MI,2,01/05/1993,01/03/2011,Christian Reformed,White,Master's degree,Business or banking,,,,,Did not serve,,
Hoeven,Charles,Bernard,,,03/30/1895,11/09/1980,2,U.S. Representative,Republican,IA,8,01/03/1945,01/08/1963,Presbyterian,White,Professional degree,Law,,,,,Army,,
Hoeven,Charles,Bernard,,,03/30/1895,11/09/1980,2,U.S. Representative,Republican,IA,6,01/09/1963,01/03/1965,Presbyterian,White,Professional degree,Law,,,,,Army,,
Hoffman,Carl,Henry,,,08/12/1896,11/30/1980,2,U.S. Representative,Republican,PA,23,06/11/1946,01/03/1947,Not specified,White,Bachelor's degree,Misc.,,,,,,,
Hoffman,Clare,Eugene,,,09/10/1875,11/03/1967,2,U.S. Representative,Republican,MI,4,01/03/1945,01/03/1963,Lutheran,White,Professional degree,Law,,,,,Did not serve,,
Hoffman,Elmer,Joseph,,,07/07/1899,06/25/1976,2,U.S. Representative,Republican,IL,14,01/07/1959,01/03/1965,Roman Catholic,White,High School graduate,Business or banking,Law Enforcement,,,,Army,,
Hoffman,Richard,William,,,12/23/1893,07/06/1975,2,U.S. Representative,Republican,IL,10,01/03/1949,01/03/1957,Not specified,White,Unknown,Misc.,,,,,World War I veteran,,
Hogan,Earl,Lee,,,03/13/1920,06/03/2007,2,U.S. Representative,Democrat,IN,9,01/07/1959,01/03/1961,Methodist,White,High School graduate,Agriculture,Law Enforcement,Public service/politics,,,Air Force,,
Hogan,Lawrence,Joseph,,,09/30/1928,04/20/2017,2,U.S. Representative,Republican,MD,5,01/03/1969,01/03/1975,Roman Catholic,White,Master's degree,Business or banking,Education,Law,Law Enforcement,,Did not serve,,
Hoke,Martin,R.,,,05/18/1952,,2,U.S. Representative,Republican,OH,10,01/05/1993,01/03/1997,Protestant,White,Professional degree,Business or banking,Law,,,,Did not serve,,
Holden,Tim,,,,03/05/1957,,2,U.S. Representative,Democrat,PA,17,01/03/2003,01/03/2013,Roman Catholic,White,Bachelor's degree,Law Enforcement,,,,,Did not serve,,
Holden,Tim,,,,03/05/1957,,2,U.S. Representative,Democrat,PA,6,01/05/1993,01/03/2003,Roman Catholic,White,Bachelor's degree,Law Enforcement,,,,,Did not serve,,
Holding,George,E.B.,,,04/17/1968,,2,U.S. Representative,Republican,NC,13,01/03/2013,01/03/2017,Baptist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Holding,George,E.B.,,,04/17/1968,,2,U.S. Representative,Republican,NC,2,01/03/2017,01/03/2021,Baptist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Holifield,Chester,Earl,,,12/03/1903,02/06/1995,2,U.S. Representative,Democrat,CA,19,01/03/1945,01/03/1975,Disciples of Christ,White,High School graduate,Business or banking,,,,,Army,Did not serve,
Holland,Elmer,Joseph,,,01/08/1894,08/09/1968,2,U.S. Representative,Democrat,PA,20,01/09/1963,08/09/1968,Roman Catholic,White,Unknown,Business or banking,Public service/politics,,,,Army,,
Holland,Elmer,Joseph,,,01/08/1894,08/09/1968,2,U.S. Representative,Democrat,PA,30,01/24/1956,01/08/1963,Roman Catholic,White,Unknown,Business or banking,Public service/politics,,,,Army,,
Holland,Elmer,Joseph,,,01/08/1894,08/09/1968,2,U.S. Representative,Democrat,PA,,05/19/1942,01/03/1943,Roman Catholic,White,Unknown,Business or banking,Public service/politics,,,,Army,,
Holland,Kenneth,Lamar,,,11/24/1934,,2,U.S. Representative,Democrat,SC,5,01/14/1975,01/03/1983,Methodist,White,Professional degree,Construction/building trades,Law,,,,Did not serve,,
Hollenbeck,Harold,C.,,,12/29/1938,,2,U.S. Representative,Republican,NJ,9,01/04/1977,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Hollingsworth,Trey,,,,09/12/1983,,2,U.S. Representative,Republican,IN,9,01/20/2017,01/03/2023,Christian,White,Master's degree,Real Estate,,,,,,,
Holloway,Clyde,,,,11/28/1943,10/16/2016,2,U.S. Representative,Republican,LA,8,01/06/1987,01/03/1993,Baptist,White,High School graduate,Business or banking,,,,,Did not serve,,
Holmes,Otis,Halbert,,,02/22/1902,07/27/1977,2,U.S. Representative,Republican,WA,4,01/03/1945,01/03/1959,Not specified,White,Master's degree,Business or banking,Education,,,,Did not serve,Marine Corps,Marine Corps
Holmes,Per,Gustaf,,,04/09/1881,12/19/1952,4,U.S. Representative,Republican,MA,4,01/03/1945,01/03/1947,Not specified,White,Unknown,Business or banking,,,,,,,
Holt,Joseph,Franklin,III,,07/06/1924,07/14/1997,2,U.S. Representative,Republican,CA,22,01/03/1953,01/03/1961,Methodist,White,Bachelor's degree,Business or banking,Public service/politics,,,,Marine Corps,,
Holt,Marjorie,Sewell,,,09/17/1920,01/06/2018,1,U.S. Representative,Republican,MD,4,01/03/1973,01/03/1987,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Holt,Rush,D.,,,10/15/1948,,2,U.S. Representative,Democrat,NJ,12,01/03/1999,01/03/2015,Society of Friends,White,Doctorate degree,Education,Engineering,Medicine,,,Did not serve,,
Holtzman,Elizabeth,,,,08/11/1941,,1,U.S. Representative,Democrat,NY,16,01/03/1973,01/03/1981,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Holtzman,Lester,,,,06/01/1913,11/12/2002,2,U.S. Representative,Democrat,NY,6,01/03/1953,12/31/1961,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Honda,Mike,,,,06/27/1941,,2,U.S. Representative,Democrat,CA,15,01/03/2001,01/03/2013,Protestant,Asian American,Master's degree,Education,,,,,Did not serve,,
Honda,Mike,,,,06/27/1941,,2,U.S. Representative,Democrat,CA,17,01/03/2013,01/03/2017,Protestant,Asian American,Master's degree,Education,,,,,Did not serve,,
Hook,Frank,,,,05/26/1893,06/21/1982,2,U.S. Representative,Democrat,MI,12,01/03/1945,01/03/1947,Not specified,White,Professional degree,Law,,,,,,,
Hooley,Darlene,,,,04/04/1939,,1,U.S. Representative,Democrat,OR,5,01/07/1997,01/05/2009,Lutheran,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,
Hope,Clifford,Ragsdale,,,06/09/1893,05/16/1970,2,U.S. Representative,Republican,KS,5,01/03/1945,01/03/1957,Presbyterian,White,Professional degree,Law,,,,,Army,,
Hopkins,Larry,Jones,,,10/25/1933,,2,U.S. Representative,Republican,KY,6,01/15/1979,01/03/1993,Methodist,White,High School graduate,Business or banking,,,,,Marine Corps,,
Horan,Walter,Franklin,,,10/15/1898,12/19/1966,2,U.S. Representative,Republican,WA,5,01/03/1945,01/03/1965,Presbyterian,White,Bachelor's degree,Agriculture,,,,,Navy,,
Horn,Joan,Kelly,,,10/18/1936,,1,U.S. Representative,Democrat,MO,2,01/03/1991,01/03/1993,Roman Catholic,White,Master's degree,Business or banking,Education,,,,Did not serve,,
Horn,Kendra,,,,06/09/1976,,1,U.S. Representative,Democrat,OK,5,01/03/2019,01/03/2021,Methodist,White,Unknown,,,,,,,,
Horn,Steve,,,,05/31/1931,02/17/2011,2,U.S. Representative,Republican,CA,38,01/05/1993,01/03/2003,Protestant,Not specified,Doctorate degree,Education,,,,,Army Reserve,,
Horsford,Steven,,,,04/29/1973,,2,U.S. Representative,Democrat,NV,4,01/03/2013,01/02/2015,Baptist,African American,High School graduate,Public service/politics,,,,,Did not serve,,
Horsford,Steven,,,,04/29/1973,,2,U.S. Representative,Democrat,NV,4,01/20/2019,01/03/2023,Baptist,African American,High School graduate,Public service/politics,,,,,Did not serve,,
Horton,Frank,Jefferson,,,12/12/1919,08/30/2004,2,U.S. Representative,Republican,NY,34,01/03/1973,01/02/1983,Presbyterian,White,Professional degree,Law,,,,,Army,,
Horton,Frank,Jefferson,,,12/12/1919,08/30/2004,2,U.S. Representative,Republican,NY,29,01/03/1983,01/03/1993,Presbyterian,White,Professional degree,Law,,,,,Army,,
Horton,Frank,Jefferson,,,12/12/1919,08/30/2004,2,U.S. Representative,Republican,NY,36,01/09/1963,01/02/1973,Presbyterian,White,Professional degree,Law,,,,,Army,,
Hosmer,Craig,,,,05/06/1915,10/11/1982,2,U.S. Representative,Republican,CA,18,01/03/1953,01/08/1963,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Hosmer,Craig,,,,05/06/1915,10/11/1982,2,U.S. Representative,Republican,CA,32,01/09/1963,01/03/1975,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Hostettler,John,,,,07/19/1961,,2,U.S. Representative,Republican,IN,8,01/04/1995,01/03/2007,Baptist,White,Bachelor's degree,Engineering,,,,,Did not serve,,
Houghton,Amory,,Jr.,Amo,08/07/1926,03/04/2020,2,U.S. Representative,Republican,NY,29,01/03/2003,01/03/2005,Episcopalian,White,Master's degree,Business or banking,,,,,Marine Corps,,
Houghton,Amory,,Jr.,Amo,08/07/1926,03/04/2020,2,U.S. Representative,Republican,NY,31,01/05/1993,01/02/2003,Episcopalian,White,Master's degree,Business or banking,,,,,Marine Corps,,
Houghton,Amory,,Jr.,Amo,08/07/1926,03/04/2020,2,U.S. Representative,Republican,NY,34,01/06/1987,01/03/1993,Episcopalian,White,Master's degree,Business or banking,,,,,Marine Corps,,
Houlahan,Chrissy,,,,06/05/1967,,1,U.S. Representative,Democrat,PA,6,01/20/2019,01/03/2023,Not specified,White,Master's degree,,,,,,,,
Howard,James,John,,,07/24/1927,03/25/1988,2,U.S. Representative,Democrat,NJ,3,01/04/1965,01/03/1989,Roman Catholic,White,Master's degree,Education,,,,,Navy,,
Howe,Allan,Turner,,,09/06/1927,12/14/2000,2,U.S. Representative,Democrat,UT,2,01/14/1975,01/03/1977,Mormon,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Coast Guard,,
Howell,Charles,Robert,,,04/23/1904,07/05/1973,2,U.S. Representative,Democrat,NJ,4,01/03/1949,01/03/1955,Episcopalian,White,High School graduate,Business or banking,,,,,Did not serve,,
Howell,George,Evan,,,09/21/1905,01/18/1980,2,U.S. Representative,Republican,IL,21,01/03/1945,01/03/1949,Not specified,White,Professional degree,Education,Law,,,,,,
Hoyer,Steny,Hamilton,,,06/14/1939,,2,U.S. Representative,Democrat,MD,5,05/19/1981,01/03/2023,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Hruska,Roman,Lee,,,08/16/1904,04/25/1999,2,U.S. Representative,Republican,NE,2,01/03/1953,11/08/1954,Unitarian,White,Professional degree,Law,Public service/politics,,,,Air National Guard-Kentucky,Did not serve,Did not serve
Hubbard,Carroll,,Jr.,,07/07/1937,,2,U.S. Representative,Democrat,KY,1,01/14/1975,01/03/1993,Baptist,White,Professional degree,Law,,,,,Army National Guard-Kentucky,,
Huber,Robert,James,,,08/29/1922,04/23/2001,2,U.S. Representative,Republican,MI,18,01/03/1973,01/03/1975,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Army,,
Huber,Walter,B.,,,06/29/1903,08/08/1982,2,U.S. Representative,Democrat,OH,14,01/03/1945,01/03/1952,Not specified,White,Unknown,Congressional Aide,Law,,,,Did not serve,,
Huckaby,Thomas,Jerald,,Jerry,07/19/1941,,2,U.S. Representative,Democrat,LA,5,01/04/1977,01/03/1993,Methodist,White,Master's degree,Agriculture,Business or banking,Engineering,,,Did not serve,,
Huddleston,George,,Jr.,,03/19/1920,09/14/1971,2,U.S. Representative,Democrat,AL,9,01/05/1955,01/08/1963,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Huddleston,George,,Jr.,,03/19/1920,09/14/1971,2,U.S. Representative,Democrat,AL,AL,01/09/1963,01/03/1965,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Hudnut,William,Herbert,III,,10/17/1932,,2,U.S. Representative,Republican,IN,11,01/03/1973,01/03/1975,Presbyterian,White,Bachelor's degree,Clergy,,,,,Did not serve,,
Hudson,Richard,,,,11/04/1971,,2,U.S. Representative,Republican,NC,8,01/20/2013,01/03/2023,Christian,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,
Huelskamp,Tim,,,,11/11/1968,,2,U.S. Representative,Republican,KS,1,01/03/2011,01/03/2017,Roman Catholic,White,Doctorate degree,Public service/politics,,,,,Did not serve,,
Huffington,Michael,,,,09/03/1947,,2,U.S. Representative,Republican,CA,22,01/05/1993,01/03/1995,Episcopalian,White,Master's degree,Business or banking,,,,,Did not serve,,
Huffman,Jared,,,,02/18/1964,,2,U.S. Representative,Democrat,CA,2,01/20/2013,01/03/2023,Humanist,White,Professional degree,Law,,,,,Did not serve,,
Hughes,William,John,,,10/17/1932,10/30/2019,2,U.S. Representative,Democrat,NJ,2,01/14/1975,01/03/1995,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Huizenga,Bill,,,,01/31/1969,,2,U.S. Representative,Republican,MI,2,01/20/2011,01/03/2023,Christian Reformed,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Hull,Merlin,,,,12/18/1870,05/17/1953,2,U.S. Representative,Progressive,WI,9,01/03/1935,03/16/1946,Not specified,White,Professional degree,Agriculture,Business or banking,Law,,,Did not serve,,
Hull,Merlin,,,,12/18/1870,05/17/1953,2,U.S. Representative,Republican,WI,9,03/17/1946,05/17/1953,Not specified,White,Professional degree,Agriculture,Business or banking,Law,,,Did not serve,,
Hull,Merlin,,,,12/18/1870,05/17/1953,2,U.S. Representative,Republican,WI,,04/15/1929,03/03/1931,Not specified,White,Professional degree,Agriculture,Business or banking,Law,,,Did not serve,,
Hull,William,Raleigh,Jr.,,04/17/1906,08/15/1977,2,U.S. Representative,Democrat,MO,6,01/05/1955,01/03/1973,Christian,White,High School graduate,Agriculture,Business or banking,,,,Did not serve,,
Hulshof,Kenny,,,,05/22/1958,,2,U.S. Representative,Republican,MO,9,01/07/1997,01/05/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Hultgren,Randy,,,,03/01/1966,,2,U.S. Representative,Republican,IL,14,01/03/2011,01/03/2019,Protestant,White,Doctorate degree,Business or banking,,,,,Did not serve,,
Hungate,William,Leonard,,,12/24/1922,06/22/2007,2,U.S. Representative,Democrat,MO,9,11/03/1964,01/03/1977,Christian,White,Professional degree,Law,,,,,Army,Reserve,
Hunt,John,Edmund,,,11/25/1908,09/22/1989,2,U.S. Representative,Republican,NJ,1,01/10/1967,01/03/1975,Baptist,White,Bachelor's degree,Law Enforcement,,,,,Army,,
Hunter,Allan,Oakley,,,06/15/1916,05/15/1995,2,U.S. Representative,Republican,CA,9,01/03/1951,01/02/1953,Not specified,White,Professional degree,Law,Law Enforcement,Public service/politics,,,Navy Reserve,,
Hunter,Allan,Oakley,,,06/15/1916,05/15/1995,2,U.S. Representative,Republican,CA,12,01/03/1953,01/03/1955,Not specified,White,Professional degree,Law,Law Enforcement,Public service/politics,,,Navy Reserve,,
Hunter,Duncan,Duane,,,12/07/1976,,2,U.S. Representative,Republican,CA,50,01/03/2013,01/13/2020,Protestant,White,Bachelor's degree,Real Estate,,,,,Marine Corps,Marine Corps Reserve,
Hunter,Duncan,Duane,,,12/07/1976,,2,U.S. Representative,Republican,CA,52,01/06/2009,01/03/2013,Protestant,White,Bachelor's degree,Real Estate,,,,,Marine Corps,Marine Corps Reserve,
Hunter,Duncan,Lee,,,05/31/1948,,2,U.S. Representative,Republican,CA,45,01/03/1983,01/04/1993,Baptist,White,Professional degree,Law,,,,,Army,,
Hunter,Duncan,Lee,,,05/31/1948,,2,U.S. Representative,Republican,CA,42,01/05/1981,01/02/1983,Baptist,White,Professional degree,Law,,,,,Army,,
Hunter,Duncan,Lee,,,05/31/1948,,2,U.S. Representative,Republican,CA,52,01/05/1993,01/05/2009,Baptist,White,Professional degree,Law,,,,,Army,,
Huot,Joseph,Oliva,,,08/11/1917,08/05/1983,2,U.S. Representative,Democrat,NH,1,01/04/1965,01/03/1967,Roman Catholic,White,High School graduate,Misc.,,,,,Did not serve,,
Hurd,Will,,,,08/19/1977,,2,U.S. Representative,Republican,TX,23,01/03/2015,01/03/2021,Christian,African American,Bachelor's degree,Computers/technology,Public service/politics,,,,Did not serve,,
Hurt,Robert,,,,06/16/1969,,2,U.S. Representative,Republican,VA,5,01/03/2011,01/03/2017,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Hutchinson,Asa,,,,12/03/1950,,2,U.S. Representative,Republican,AR,3,01/07/1997,08/06/2001,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Hutchinson,J.,Edward,,,10/13/1914,07/22/1985,2,U.S. Representative,Republican,MI,4,01/09/1963,01/03/1977,Christian Scientist,White,Professional degree,Law,,,,,Army,,
Hutchinson,John,Guiher,,,02/04/1935,,2,U.S. Representative,Democrat,WV,3,01/03/1980,01/03/1981,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Air Force,,
Hutchinson,Tim,,,,08/11/1949,,2,U.S. Representative,Republican,AR,3,01/05/1993,01/03/1997,Baptist,White,Master's degree,Business or banking,Clergy,Education,,,Did not serve,,
Hutto,Earl,D.,,,05/12/1926,,2,U.S. Representative,Democrat,FL,1,01/15/1979,01/03/1995,Baptist,White,Bachelor's degree,Business or banking,Education,Journalism,,,Navy,,
Hyde,DeWitt,Stephen,,,03/21/1909,04/25/1986,2,U.S. Representative,Republican,MD,6,01/03/1953,01/03/1959,Not specified,White,Professional degree,Education,Law,,,,Navy,,
Hyde,Henry,John,,,04/18/1924,11/29/2007,2,U.S. Representative,Republican,IL,6,01/14/1975,01/03/2007,Roman Catholic,White,Professional degree,Law,,,,,Reserve,,
Ichord,Richard,Howard,,,06/27/1926,12/25/1992,2,U.S. Representative,Democrat,MO,8,01/03/1961,01/03/1981,Baptist,White,Professional degree,Law,,,,,Navy Air Corps,,
Ikard,Frank,Neville,,,01/30/1914,05/01/1991,2,U.S. Representative,Democrat,TX,13,01/03/1951,12/15/1961,Episcopalian,White,Professional degree,Law,,,,,Army,,
Inglis,Robert,D.,,,10/11/1959,,2,U.S. Representative,Republican,SC,4,01/03/2005,01/03/2011,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Inglis,Robert,D.,,,10/11/1959,,2,U.S. Representative,Republican,SC,4,01/05/1993,01/03/1999,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Inhofe,James,Mountain,,,11/17/1934,,2,U.S. Representative,Republican,OK,1,01/06/1987,11/15/1994,Presbyterian,White,Bachelor's degree,Business or banking,Public service/politics,Real Estate,,,Army,,
Inouye,Daniel,Ken,,,09/07/1924,12/17/2012,2,U.S. Representative,Democrat,HI,AL,08/21/1959,01/03/1963,Methodist,Asian American,Professional degree,Law,,,,,Army,,
Inslee,Jay,,,,02/09/1951,,2,U.S. Representative,Democrat,WA,1,01/03/1999,03/20/2012,Protestant,White,Professional degree,Law,,,,,Did not serve,,
Inslee,Jay,,,,02/09/1951,,2,U.S. Representative,Democrat,WA,4,01/05/1993,01/03/1995,Protestant,White,Professional degree,Law,,,,,Did not serve,,
Ireland,Andrew,Poysell,,,08/23/1930,,2,U.S. Representative,Republican,FL,10,01/03/1983,01/03/1993,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,
Ireland,Andrew,Poysell,,,08/23/1930,,2,U.S. Representative,Democrat,FL,8,01/04/1977,01/02/1983,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,
Irving,Theodore,Leonard,,,03/24/1898,03/08/1962,2,U.S. Representative,Democrat,MO,4,01/03/1949,01/03/1953,Congregationalist,White,High School graduate,Business or banking,Construction/building trades,Misc.,,,Did not serve,,
Irwin,Donald,Jay,,,09/07/1926,07/07/2013,2,U.S. Representative,Democrat,CT,4,01/07/1959,01/03/1969,Roman Catholic,White,Professional degree,Education,Public service/politics,,,,Army,,
Isacson,Leo,,,,04/20/1910,09/21/1996,2,U.S. Representative,American Labor,NY,24,02/17/1948,01/03/1949,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Isakson,Johnny,,,,12/24/1944,,2,U.S. Representative,Republican,GA,6,02/23/1999,01/03/2005,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Israel,Steven,,,,06/30/1958,,2,U.S. Representative,Democrat,NY,2,01/03/2001,01/03/2013,Jewish,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Israel,Steven,,,,06/30/1958,,2,U.S. Representative,Democrat,NY,3,01/03/2013,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Issa,Darrell,,,,11/01/1953,,2,U.S. Representative,Republican,CA,49,01/03/2003,01/03/2019,Greek Orthodox,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Issa,Darrell,,,,11/01/1953,,2,U.S. Representative,Republican,CA,48,01/03/2021,01/03/2023,Greek Orthodox,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Issa,Darrell,,,,11/01/1953,,2,U.S. Representative,Republican,CA,50,01/03/2021,01/03/2023,Greek Orthodox,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Istook,Ernest,Jim,Jr.,,02/11/1950,,2,U.S. Representative,Republican,OK,5,01/05/1993,01/03/2007,Mormon,White,Professional degree,Law,,,,,Did not serve,,
Izac,Edouard,V.M.,,,12/18/1891,01/18/1990,4,U.S. Representative,Democrat,CA,23,01/03/1945,01/03/1947,Not specified,White,Bachelor's degree,Journalism,,,,,,,
Jackson,Donald,Lester,,,01/23/1910,05/27/1981,2,U.S. Representative,Republican,CA,16,01/03/1947,01/03/1961,Congregationalist,White,High School graduate,Congressional Aide,Public service/politics,,,,Marine Corps,,
Jackson,Henry,Martin,,,05/31/1912,09/01/1983,2,U.S. Representative,Democrat,WA,2,01/03/1945,01/03/1953,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Jackson,Jesse,L.,Jr.,,03/11/1965,,2,U.S. Representative,Democrat,IL,2,12/12/1995,11/21/2012,Baptist,African American,Professional degree,Law,,,,,Did not serve,,
Jackson,Ronny,,,,05/04/1967,,2,U.S. Representative,Republican,TX,13,01/03/2021,01/03/2023,Church of Christ,Not specified,Professional degree,,,,,,,,
Jackson-Lee,Sheila,,,,01/12/1950,,1,U.S. Representative,Democrat,TX,18,01/03/1995,01/03/2023,Seventh-Day Adventist,African American,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,
