,icpsr,degree,clustering,pagerank,name,name_dw,party,state
91,14456,93.05914754111149,0.002427821168773648,0.0013997456616661754,P. TRIBLE,"TRIBLE, Paul Seward, Jr.",R,VA
92,14467,52.990668826170904,0.002249404625534907,0.0009110188307232157,W. FOWLER,"FOWLER, Wyche, Jr.",D,GA
93,14500,391.3861279958953,0.0026923168048815158,0.004430054312415177,J. CHAFEE,"CHAFEE, John Hubbard",R,RI
94,14501,324.3101588334041,0.0029785211403760476,0.004495320588077777,J. DANFORTH,"DANFORTH, John Claggett",R,MO
95,14502,510.6612705721687,0.003915077023611577,0.005336681290905739,D. DeCONCINI,"DeCONCINI, Dennis Webster",D,AZ
96,14503,1212.0232131654404,0.0029313552367882263,0.011383451377730933,O. HATCH,"HATCH, Orrin Grant",R,UT
97,14504,104.17425479390418,0.0020685184912024503,0.0012320890922125404,S. HAYAKAWA,"HAYAKAWA, Samuel Ichiye",R,CA
98,14508,684.9404959787969,0.0036412345909083614,0.008158015752551642,D. MOYNIHAN,"MOYNIHAN, Daniel Patrick",D,NY
99,14509,201.26455907196862,0.0023249818687060097,0.0025449366028094077,J. SASSER,"SASSER, James Ralph",D,TN
100,14511,209.83874561272023,0.0022457862662640963,0.002115821295068766,M. WALLOP,"WALLOP, Malcolm",R,WY
101,14512,127.29078427405594,0.002166901516334415,0.0009543528467346517,E. ZORINSKY,"ZORINSKY, Edward",D,NE
102,14513,64.71676346293958,0.0019813277176630355,0.0007129649282846727,W. ANDERSON,"ANDERSON, Wendell Richard",D,MN
103,14617,512.386812334814,0.004071443744969966,0.004743212421746909,T. DASCHLE,"DASCHLE, Thomas Andrew",D,SD
104,14628,139.98842386129007,0.0020668805667432393,0.001855106843757233,W. GRAMM,"GRAMM, William Philip (Phil)",R,TX
105,14700,274.260508157283,0.003013840849889366,0.0026777468682807485,D. BOREN,"BOREN, David Lyle",D,OK
106,14702,350.57716676150005,0.0032393470307469532,0.0038787080202174066,W. BRADLEY,"BRADLEY, William Warren (Bill)",D,NJ
107,14703,383.5257480821027,0.003971047837190646,0.004539660971703761,D. DURENBERGER,"DURENBERGER, David Ferdinand",R,MN
108,14705,222.8601104266204,0.002661732276273649,0.0020944558790468074,H. HEFLIN,"HEFLIN, Howell Thomas",D,AL
109,14706,121.20758386462555,0.0023688541026250644,0.0017086373241516782,G. HUMPHREY,"HUMPHREY, Gordon John",R,NH
110,14707,81.30646700568394,0.0022603902460568725,0.001295354825824684,R. JEPSEN,"JEPSEN, Roger William",R,IA
111,14708,214.74649454978103,0.0024459795993767275,0.002777958496643069,N. KASSEBAUM,"KASSEBAUM, Nancy Landon",R,KS
112,14709,660.9885443684286,0.0027601177587080767,0.005447513203188552,C. LEVIN,"LEVIN, Carl",D,MI
113,14711,31.61481049480276,0.0016698713061891472,0.0005932285096041129,D. STEWART,"STEWART, Donald Wilbur",D,AL
114,14713,217.59070203457583,0.0031651560733120523,0.003115887285963545,G. MITCHELL,"MITCHELL, George John",D,ME
115,14900,475.09890888762305,0.003454190489911394,0.005494412038293129,A. D'AMATO,"D'AMATO, Alfonse Marcello",R,NY
116,14901,99.5979126015248,0.0024888213577994884,0.001129454101769644,J. DENTON,"DENTON, Jeremiah Andrew, Jr.",R,AL
117,14902,171.3037988236693,0.0029222812527236416,0.0018830456442414415,A. DIXON,"DIXON, Alan John",D,IL
118,14903,57.68988887281188,0.0025417416412209727,0.0006588910766394532,J. EAST,"EAST, John Porter",R,NC
119,14904,294.34977640496385,0.002464540943266637,0.003384387226114236,T. GORTON,"GORTON, Thomas Slade, III (Slade)",R,WA
120,14905,112.1121712602245,0.002459568039604077,0.0011296194870206507,P. HAWKINS,"HAWKINS, Paula",R,FL
121,14907,385.6983120766777,0.00281151146642213,0.0034314372238795246,F. MURKOWSKI,"MURKOWSKI, Frank Hughes",R,AK
122,14908,257.75236748328916,0.00230706266439283,0.002532324976323748,D. NICKLES,"NICKLES, Donald Lee",R,OK
123,14910,643.866611187417,0.0029233973281056454,0.006789379738257437,A. SPECTER,"SPECTER, Arlen",R,PA
124,14912,950.8741487267538,0.003901435579660839,0.009111764916178045,J. BINGAMAN,"BINGAMAN, Jesse Francis, Jr. (Jeff)",D,NM
125,14914,850.4658156599762,0.0037377223529319673,0.007964568587786481,F. LAUTENBERG,"LAUTENBERG, Frank Raleigh",D,NJ
126,14915,134.60091820534953,0.0026112613355110787,0.0017844538284596903,P. WILSON,"WILSON, Pete",R,CA
127,14921,300.1450986989929,0.00170867946744348,0.0032935655078486967,A. McCONNELL,"McCONNELL, Addison Mitchell (Mitch)",R,KY
128,14922,592.7504521829856,0.003440562495037063,0.005800677425979173,J. ROCKEFELLER,"ROCKEFELLER, John Davison IV (Jay)",D,WV
129,15039,876.147374077404,0.0028480097412889914,0.009159786861244903,J. McCAIN,"McCAIN, John Sidney, III",R,AZ
130,15501,306.2503099288875,0.0023411227553000514,0.0031285591501123214,C. BOND,"BOND, Christopher Samuel (Kit)",R,MO
131,15502,370.9594559783182,0.002625643176027098,0.0029023898672693284,K. CONRAD,"CONRAD, Kent",D,ND
132,15503,376.3465896095946,0.003247289388873991,0.004178567504340554,D. GRAHAM,"GRAHAM, Daniel Robert (Bob)",D,FL
133,15700,143.899448016873,0.0022783330074274,0.0014310213757936037,R. BRYAN,"BRYAN, Richard H",D,NV
134,42301,498.7147132896941,0.0025389985110981336,0.005734838404573021,J. FETTERMAN,"FETTERMAN, John Karl",D,PA
135,1569,47.14425042259308,0.001411259668549797,0.0008764856723928627,C. CASE,"CASE, Clifford Philip",R,NJ
136,2267,37.80461023754367,0.0014884764960873512,0.0007912120322773877,C. CURTIS,"CURTIS, Carl Thomas",R,NE
137,4148,35.156410073452065,0.0014133531892636189,0.0008250070059956152,P. HART,"HART, Philip Aloysius",D,MI
138,4660,16.02307931748334,0.000919007665740263,0.0005942320297700819,R. HRUSKA,"HRUSKA, Roman Lee",R,NE
139,4851,309.70125209806133,0.002173648272216663,0.0046748365091785005,H. JACKSON,"JACKSON, Henry Martin (Scoop)",D,WA
140,6151,21.26428889737713,0.0011121583780772438,0.0007726075898188377,J. McCLELLAN,"McCLELLAN, John Little",D,AR
141,6249,46.972307148289104,0.0019060927627323676,0.0005766782873888331,G. McGEE,"McGEE, Gale William",D,WY
142,6611,35.475644792084424,0.0013232949630117247,0.0008903175776124911,J. MONTOYA,"MONTOYA, Joseph Manuel",D,NM
143,6754,101.75834866502758,0.0018680954824093084,0.00298785210587247,F. MOSS,"MOSS, Frank Edward (Ted)",D,UT
144,6831,41.46731247899136,0.0016222407086171442,0.0010136793411440106,E. MUSKIE,"MUSKIE, Edmund Sixtus",D,ME
145,10450,49.360114131019365,0.0017249566496596437,0.0005041477829581584,M. YOUNG,"YOUNG, Milton Ruben",R,ND
146,10700,110.95361627846589,0.003206279590812793,0.0011846724281352982,B. ADAMS,"ADAMS, Brockman (Brock)",D,WA
147,10777,63.36558619249762,0.0017962457451110414,0.0011389050231530914,J. TUNNEY,"TUNNEY, John Varick",D,CA
148,10804,141.7106787768475,0.0017166456249169831,0.001055804320057183,P. FANNIN,"FANNIN, Paul Jones",R,AZ
149,10813,58.93088599309188,0.0018757823779366075,0.001157135341753037,W. MONDALE,"MONDALE, Walter Frederick",D,MN
150,11203,329.7855320223067,0.0021888630398855156,0.0036195661844779957,M. HATFIELD,"HATFIELD, Mark Odom",R,OR
151,12109,642.9864072505994,0.0021319048662074374,0.004724012652910976,T. STEVENS,"STEVENS, Theodore Fulton (Ted)",R,AK
152,14102,53.107823457745056,0.0015016189410598372,0.0009936177574448167,R. CLARK,"CLARK, Richard Clarence (Dick)",D,IA
153,14240,374.45745173840976,0.00376586293680567,0.003176710290152164,J. JEFFORDS,"JEFFORDS, James Merrill",D,VT
154,14242,154.83045037107195,0.0024743589323157496,0.001668169192586672,R. KASTEN,"KASTEN, Robert Walter, Jr.",R,WI
155,14275,340.5625000206192,0.004145823201892308,0.0027756276707484096,P. SIMON,"SIMON, Paul Martin",D,IL
156,14302,224.1871433510701,0.0019804562629618643,0.0022537687869775085,W. FORD,"FORD, Wendell Hampton",D,KY
157,14400,554.1589985636549,0.0034162976970253485,0.004649936808718137,D. AKAKA,"AKAKA, Daniel Kahikina",D,HI
158,14447,79.86758992884145,0.0021850633160390336,0.0011999363786196525,J. QUAYLE,"QUAYLE, James Danforth (Dan)",R,IN
159,14506,470.85840774834423,0.002050166352209403,0.004244535403033695,R. LUGAR,"LUGAR, Richard Green",R,IN
160,14510,129.36583704740696,0.0024341365263960534,0.0010303972783337735,H. SCHMITT,"SCHMITT, Harrison Hagan",R,NM
161,14659,227.12492489211644,0.0019140951393097736,0.001830096280471053,R. SHELBY,"SHELBY, Richard C.",R,AL
162,14701,175.9872582389492,0.002540548192874516,0.0019178910087537966,R. BOSCHWITZ,"BOSCHWITZ, Rudolph Eli (Rudy)",R,MN
163,14704,180.0067265233159,0.0023609634750178243,0.0019753655797794234,J. EXON,"EXON, J. James",D,NE
164,14710,201.6468719416417,0.002557406009748469,0.0014612323133294735,A. SIMPSON,"SIMPSON, Alan Kooi",R,WY
165,14712,370.4575953729492,0.002097722106324043,0.0030504859242918747,J. WARNER,"WARNER, John William",R,VA
166,14803,131.7688328405191,0.002453106993325735,0.0011720805949709061,G. BROWN,"BROWN, George Hanks (Hank)",R,CO
167,14916,53.3341329695267,0.00205480418194729,0.0008504858590274223,D. EVANS,"EVANS, Daniel Jackson",R,WA
168,14920,835.5195366696762,0.003961402241933938,0.007129668973292069,J. KERRY,"KERRY, John Forbes",D,MA
169,15054,551.5732521796118,0.0028728279542000854,0.0048730728106293544,H. REID,"REID, Harry",D,NV
170,15504,79.2238009357568,0.002357236819400054,0.0008131029001791274,(. SANFORD,"SANFORD, (James) Terry",D,NC
171,15701,271.0739850991577,0.0027062514526632582,0.002212963153385775,C. BURNS,"BURNS, Conrad",R,MT
172,15702,124.40796827000797,0.00264180102842068,0.0010192648934799727,J. KERREY,"KERREY, J. Robert",D,NE
173,15703,405.3935742748448,0.003318120032379021,0.003917794684513862,H. KOHL,"KOHL, Herbert H.",D,WI
174,49104,63.92526960405172,0.0027599576576934704,0.0008446175048960119,H. WOFFORD,"WOFFORD, Harris",D,PA
175,3824,27.347373806552696,0.0017606920206244183,0.0007161449258106848,R. GRIFFIN,"GRIFFIN, Robert Paul",R,MI
176,14279,92.22725390241445,0.0026528661929597595,0.0011968877297429418,P. TSONGAS,"TSONGAS, Paul Efthemios",D,MA
177,14661,686.7324765216608,0.004636368703159949,0.006092419222673323,O. SNOWE,"SNOWE, Olympia Jean",R,ME
178,14806,163.86214281541882,0.0016462397531085892,0.0015391591358610709,D. COATS,"COATS, Daniel Ray",R,IN
179,14812,373.96562865926626,0.003438056340012614,0.0033233330447400614,B. DORGAN,"DORGAN, Byron Leslie",D,ND
180,14858,896.514420081571,0.004506252196960181,0.006300447436447471,C. SCHUMER,"SCHUMER, Charles Ellis (Chuck)",D,NY
181,14871,1046.9450685964325,0.004332593851794117,0.007326124496351614,R. WYDEN,"WYDEN, Ronald Lee",D,OR
182,15011,754.579922772222,0.004083489965139095,0.005530980230987218,B. BOXER,"BOXER, Barbara",D,CA
183,15015,412.27378416232364,0.003238497453013571,0.003304349279227747,T. CARPER,"CARPER, Thomas Richard",D,DE
184,15020,328.68924371204696,0.0037583794725615013,0.0029859787286499856,M. DeWINE,"DeWINE, Michael",R,OH
185,15021,1273.1742564097492,0.005176604477239101,0.009429614165860443,R. DURBIN,"DURBIN, Richard Joseph",D,IL
186,15071,173.6238738956188,0.003760912184533781,0.0016411908054188157,R. TORRICELLI,"TORRICELLI, Robert Guy",D,NJ
187,15116,161.01861373673668,0.0026177974260783625,0.001400009219727015,R. SMITH,"SMITH, Robert C.",R,NH
188,15406,130.52415230486,0.002419732638292733,0.0013853846415664572,J. BUNNING,"BUNNING, James Paul David",R,KY
189,15408,615.5197138637077,0.004635378175739927,0.004289135868619648,B. CARDIN,"CARDIN, Benjamin Louis",D,MD
190,15424,472.91150983638926,0.0024925771600973344,0.0035082037373194088,J. INHOFE,"INHOFE, James Mountain",R,OK
191,15425,411.83814904603025,0.0038001473383856145,0.002481004867159097,T. JOHNSON,"JOHNSON, Timothy Peter (Tim)",D,SD
192,15704,495.5977559466602,0.003515449890518073,0.0030435349555756066,J. LIEBERMAN,"LIEBERMAN, Joseph I.",D,CT
193,15705,143.38572374679651,0.0024127921457886975,0.0009480913809360063,C. ROBB,"ROBB, Charles Spittal",D,VA
194,20735,783.1776595685238,0.006318612851244451,0.0044694069473972305,K. GILLIBRAND,"GILLIBRAND, Kirsten",D,NY
195,29141,235.6925298625262,0.0029419724695223318,0.002628660428342915,R. SANTORUM,"SANTORUM, Richard John (Rick)",R,PA
196,29142,575.09096785276,0.0038985653975467656,0.004706005479905453,J. REED,"REED, John F. (Jack)",D,RI
197,29148,123.43961222953922,0.002671954809493369,0.0011688253992343037,G. ALLEN,"ALLEN, George",R,VA
198,29305,296.82233595191394,0.0037509761998918314,0.002475162018470122,B. LINCOLN,"LINCOLN, Blanche Lambert",D,AR
199,29306,130.23178822325582,0.0029977031593860083,0.0012420834374514242,T. HUTCHINSON,"HUTCHINSON, Timothy",R,AR
200,29389,948.5812945206407,0.006075426832978203,0.006463979247438737,S. BROWN,"BROWN, Sherrod",D,OH
201,29523,220.64569621009556,0.0026583153359784786,0.00203659164785538,S. BROWNBACK,"BROWNBACK, Sam Dale",R,KS
202,29548,323.6651070355812,0.0029640903618280623,0.0024988373340820947,R. BURR,"BURR, Richard M.",R,NC
203,29740,58.62656566220605,0.0024477756151055903,0.0007106702421621167,J. SUNUNU,"SUNUNU, John E.",R,NH
204,29754,463.5777233606792,0.0033606548461714886,0.004032784347431176,J. THUNE,"THUNE, John",R,SD
205,29924,341.54101417685365,0.004726442100994427,0.0024497611729333833,T. UDALL,"UDALL, Thomas (Tom)",D,NM
206,29936,113.46127716564857,0.0028480737808034787,0.0014156026783955437,J. DeMINT,"DeMINT, James W.",R,SC
207,39310,552.4651847360697,0.0039344652373474705,0.0037896865516941058,M. CANTWELL,"CANTWELL, Maria E.",D,WA
208,40103,110.36985172303652,0.0025216729668961313,0.0010239351002703577,E. NELSON,"NELSON, Earl Benjamin (Ben)",D,NE
209,40105,485.51785200796274,0.005840623325034978,0.003740467799925017,H. CLINTON,"CLINTON, Hillary Rodham",D,NY
210,40302,159.67501859221977,0.0034494779665658927,0.0015191157412135995,N. COLEMAN,"COLEMAN, Norm",R,MN
