"term","estimate","std.error","mcmc.error","statistic","p.value","congress"
"nodematch.sum.party",0.255887359991314,0.027141828637084,0,9.42778629298742,4.18834861095031e-21,104
"nonzero",-1.57860352111324,0.0360875724794174,0,-43.7436882742278,0,105
"nodecov.sum.nominate_dim1",-0.793096432705356,0.038227758847308,0,-20.7466107514489,1.31543944664414e-95,105
"absdiff.sum.nominate_dim1",-0.738581966810875,0.0497278228717492,0,-14.8524894949799,6.70323871597144e-50,105
"nodefactor.sum.party.R",0.590157954653928,0.0266268378670556,0,22.1640270467155,7.64032665276126e-109,105
"nodematch.sum.party",0.116354709285711,0.0258838414890352,0,4.49526432678089,6.94835781810697e-06,105
"nonzero",-1.4233391321716,0.0306191809346804,0,-46.485212495004,0,106
"nodecov.sum.nominate_dim1",-0.852375043249163,0.0336309510194368,0,-25.3449580642706,1.02135131818374e-141,106
"absdiff.sum.nominate_dim1",-0.444370286493711,0.0421575829148969,0,-10.5406964955927,5.60819996715282e-26,106
"nodefactor.sum.party.R",0.496850513456796,0.0231388528895276,0,21.4725646007139,2.81071692549314e-102,106
"nodematch.sum.party",0.316992717088205,0.0203351964582334,0,15.588377409546,8.73234778771511e-55,106
"nonzero",-1.52932826940634,0.0342260470794481,0,-44.6831696881719,0,107
"nodecov.sum.nominate_dim1",-0.931487055082341,0.0352163945455754,0,-26.4503810541097,3.61209949124239e-154,107
"absdiff.sum.nominate_dim1",-0.224640679977393,0.0410722248145127,0,-5.4694061739265,4.51545881500861e-08,107
"nodefactor.sum.party.R",0.420761168351133,0.0245673595126274,0,17.1268372628677,9.36070154348026e-66,107
"nodematch.sum.party",0.349964907432351,0.0217301332848076,0,16.1050511216618,2.35103647794547e-58,107
"nonzero",-1.64312509993944,0.0344606080073176,0,-47.6812568016944,0,108
"nodecov.sum.nominate_dim1",-1.17225675996608,0.032856930069176,0,-35.6776107048967,8.79505270737383e-279,108
"absdiff.sum.nominate_dim1",-0.374154272043042,0.0422284707897669,0,-8.86023730070067,7.98442976709426e-19,108
"nodefactor.sum.party.R",0.619311437272531,0.0220513021405495,0,28.0850279645707,1.49261769831091e-173,108
"nodematch.sum.party",0.231872604213165,0.0209900303776817,0,11.0467969812807,2.27176219962687e-28,108
"nonzero",-1.69056804965386,0.034124848598799,0,-49.5406754629046,0,109
"nodecov.sum.nominate_dim1",-1.11034876422935,0.0336636914476737,0,-32.9835712151551,1.39731012041197e-238,109
"absdiff.sum.nominate_dim1",-0.385928452126647,0.0420299040251046,0,-9.18223491293558,4.22235509812221e-20,109
"nodefactor.sum.party.R",0.626297993141406,0.0239823241872736,0,26.1149831955719,2.46410527497303e-150,109
"nodematch.sum.party",0.295663289592171,0.0216950629516816,0,13.6281369752492,2.72446926341603e-42,109
"nonzero",-1.6976353725637,0.0340601838792578,0,-49.842225707934,0,110
"nodecov.sum.nominate_dim1",-1.77081715771139,0.0347344507870133,0,-50.9815793135692,0,110
"absdiff.sum.nominate_dim1",-0.709707057493759,0.0443822419164022,0,-15.9907888121234,1.48143237323871e-57,110
"nodefactor.sum.party.R",0.931415763261079,0.0241827057504576,0,38.5157795356897,0,110
"nodematch.sum.party",0.137404931563191,0.0212168681502591,0,6.47621178536252,9.4054011106552e-11,110
"nonzero",-2.01739713167813,0.0345258619787582,0,-58.4314776244925,0,111
"nodecov.sum.nominate_dim1",-1.12442170837478,0.0339456300971428,0,-33.124196108807,1.33278893421669e-240,111
"absdiff.sum.nominate_dim1",-0.632533237078933,0.0426089582498481,0,-14.8450763186914,7.48695565975613e-50,111
"nodefactor.sum.party.R",0.696101339303886,0.0244112842954804,0,28.5155557928906,7.5142664126484e-179,111
"nodematch.sum.party",0.254562531050622,0.0214470713725342,0,11.8693376185908,1.70814681100706e-32,111
